,table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
3368,SF1,193982,CSOD,Cornerstone OnDemand Inc,NASDAQ,N,Domestic Common Stock,21925Y103,7372.0,Services,Services-Prepackaged Software,,Business Services,Technology,Software - Application,4 - Mid,3 - Small,,USD,California; U.S.A,2020-08-11,2014-10-28,2011-03-17,2020-10-09,2009-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001401680,http://www.cornerstoneondemand.com
3370,SF1,198985,CSPI,Csp Inc,NASDAQ,N,Domestic Common Stock,126389105,7373.0,Services,Services-Computer Integrated Systems Design,,Computers,Technology,Information Technology Services,2 - Micro,2 - Micro,,USD,Massachusetts; U.S.A,2020-08-11,2014-10-31,1990-03-27,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000356037,http://www.cspi.com
3372,SF1,110124,CSPR,Casper Sleep Inc,NYSE,N,Domestic Common Stock,147626105,2510.0,Manufacturing,Household Furniture,,Consumer Goods,Consumer Cyclical,Furnishings Fixtures & Appliances,3 - Small,3 - Small,,USD,New York; U.S.A,2020-08-11,2020-02-06,2020-02-06,2020-10-09,2017-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001598674,http://www.casper.com
3379,SF1,121793,CSSE,Chicken Soup for the Soul Entertainment Inc,NASDAQ,N,Domestic Common Stock Primary Class,16842Q100,7819.0,Services,Services-Allied To Motion Picture Production,,Entertainment,Consumer Cyclical,Broadcasting,2 - Micro,2 - Micro,CSSEP CSSEN,USD,Connecticut; U.S.A,2020-08-13,2017-11-05,2017-08-18,2020-10-09,2016-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001679063,http://www.cssentertainment.com
3382,SF1,190988,CSTE,Caesarstone Ltd,NASDAQ,N,ADR Common Stock,M20598104,3281.0,Manufacturing,Cut Stone & Stone Products,,Construction Materials,Basic Materials,Building Products & Equipment,4 - Mid,3 - Small,,USD,Israel,2020-03-23,2016-01-14,2012-03-22,2020-10-09,2009-12-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001504379,http://www.caesarstone.com
3383,SF1,110637,CSTL,Castle Biosciences Inc,NASDAQ,N,Domestic Common Stock,14843C105,8071.0,Services,Services-Medical Laboratories,,Healthcare,Healthcare,Diagnostics & Research,3 - Small,2 - Micro,,USD,Texas; U.S.A,2020-08-11,2019-07-26,2019-07-25,2020-10-09,2017-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001447362,http://castlebiosciences.com
3385,SF1,166776,CSTM,Constellium SE,NYSE,N,ADR Common Stock,N22035104 F21107101,3341.0,Manufacturing,Secondary Smelting & Refining Of Nonferrous Metals,,Steel Works Etc,Basic Materials,Aluminum,4 - Mid,4 - Mid,,EUR,Netherlands,2020-03-10,2016-01-16,2013-05-23,2020-10-09,2011-12-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001563411,http://www.constellium.com
3387,SF1,124698,CSTR,CapStar Financial Holdings Inc,NASDAQ,N,Domestic Common Stock,14070T102,6022.0,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,3 - Small,2 - Micro,,USD,Tennessee; U.S.A,2020-08-07,2016-11-10,2016-09-22,2020-10-09,2014-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001676479,http://www.capstarbank.com
3388,SF1,196789,CSU,Capital Senior Living Corp,NYSE,N,Domestic Common Stock,140475104,8050.0,Services,Services-Nursing & Personal Care Facilities,,Healthcare,Healthcare,Medical Care Facilities,3 - Small,3 - Small,,USD,Texas; U.S.A,2020-08-10,2014-10-21,1997-10-31,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001043000,http://www.capitalsenior.com
3390,SF1,197053,CSV,Carriage Services Inc,NYSE,N,Domestic Common Stock,143905107,7200.0,Services,Services-Personal Services,,Personal Services,Consumer Cyclical,Personal Services,3 - Small,2 - Micro,,USD,Texas; U.S.A,2020-08-04,2015-03-21,1996-08-09,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001016281,http://www.carriageservices.com
3391,SF1,199875,CSWC,Capital Southwest Corp,NASDAQ,N,Domestic Common Stock Primary Class,140501107 140501123,6153.0,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,Financial Services,Asset Management,3 - Small,2 - Micro,CSWCL,USD,Texas; U.S.A,2020-08-04,2014-10-10,1990-03-27,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000017313,http://www.capitalsouthwest.com
3392,SF1,157010,CSWI,Csw Industrials Inc,NASDAQ,N,Domestic Common Stock,126402106,2891.0,Manufacturing,Adhesives & Sealants,,Chemicals,Industrials,Specialty Industrial Machinery,3 - Small,3 - Small,,USD,Texas; U.S.A,2020-09-10,2016-09-13,2015-10-01,2020-10-09,2014-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001624794,http://www.cswindustrials.com
3393,SF1,199144,CSX,Csx Corp,NASDAQ,N,Domestic Common Stock,126408103,4011.0,Transportation Communications Electric Gas And Sanitary Service,Railroads Line-Haul Operating,,Transportation,Industrials,Railroads,5 - Large,5 - Large,,USD,Florida; U.S.A,2020-07-23,2014-12-09,1986-01-01,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000277948,http://www.csx.com
3398,SF1,198806,CTAS,Cintas Corp,NASDAQ,N,Domestic Common Stock,172908105,2320.0,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,Industrials,Specialty Business Services,5 - Large,4 - Mid,,USD,Ohio; U.S.A,2020-10-09,2014-12-19,1989-03-13,2020-10-09,1997-03-31,2020-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723254,http://www.cintas.com
3399,SF1,199813,CTB,Cooper Tire & Rubber Co,NYSE,N,Domestic Common Stock,216831107,3011.0,Manufacturing,Tires & Inner Tubes,,Automobiles and Trucks,Consumer Cyclical,Auto Parts,4 - Mid,4 - Mid,,USD,Ohio; U.S.A,2020-08-20,2014-10-10,1987-11-05,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000024491,http://www.coopertire.com
3401,SF1,199042,CTBI,Community Trust Bancorp Inc,NASDAQ,N,Domestic Common Stock,204149108,6022.0,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,3 - Small,2 - Micro,,USD,Kentucky; U.S.A,2020-08-09,2014-10-15,1993-05-17,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000350852,http://www.ctbi.com
3410,SF1,197437,CTDH,Cyclo Therapeutics Inc,OTC,N,Domestic Common Stock,23254X102 12642Q101,2860.0,Manufacturing,Industrial Organic Chemicals,,Chemicals,Basic Materials,Specialty Chemicals,2 - Micro,1 - Nano,,USD,Florida; U.S.A,2020-08-16,2016-04-19,2000-05-03,2020-10-09,1997-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000922247,http://www.ctd-holdings.com
3413,SF1,190939,CTEK,Cynergistek Inc,NYSEMKT,N,Domestic Common Stock,23258P105 05334N204 05334N105,7389.0,Services,Services-Business Services Nec,,Business Services,Technology,Information Technology Services,1 - Nano,2 - Micro,AUXO,USD,Texas; U.S.A,2020-08-13,2015-05-20,2001-11-29,2020-10-09,2003-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001011432,http://www.cynergistek.com
3418,SF1,199826,CTG,Computer Task Group Inc,NASDAQ,N,Domestic Common Stock,205477102,7371.0,Services,Services-Computer Programming Services,,Business Services,Technology,Information Technology Services,3 - Small,3 - Small,,USD,New York; U.S.A,2020-09-10,2014-10-29,1988-01-05,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000023111,http://www.ctg.com
3421,SF1,192676,CTGO,Contango ORE Inc,OTC,N,Domestic Common Stock,21077F100,1040.0,Mining,Gold And Silver Ores,,Precious Metals,Basic Materials,Gold,2 - Micro,1 - Nano,,USD,Texas; U.S.A,2020-09-25,2015-09-21,2010-12-21,2020-10-09,2009-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001502377,http://www.contangoore.com
3422,SF1,197062,CTHR,Charles & Colvard Ltd,NASDAQ,N,Domestic Common Stock,159765106 22942P109,3910.0,Manufacturing,Jewelry Silverware & Plated Ware,,Consumer Goods,Consumer Cyclical,Luxury Goods,3 - Small,1 - Nano,,USD,North Carolina; U.S.A,2020-09-04,2014-12-12,1997-11-14,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001015155,http://www.charlesandcolvard.com
3423,SF1,196801,CTIB,Yunhong CTI Ltd,NASDAQ,N,Domestic Common Stock,125961300 98873Q100 125961102,3060.0,Manufacturing,Fabricated Rubber Products Nec,,Rubber and Plastic Products,Consumer Cyclical,Specialty Retail,1 - Nano,2 - Micro,,USD,Illinois; U.S.A,2020-08-19,2014-12-16,2003-05-29,2020-10-09,1996-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001042187,http://www.ctiindustries.com
3424,SF1,197732,CTIC,Cti Biopharma Corp,NASDAQ,N,Domestic Common Stock,12648L106 12648L601 150934883 150934602 150934503 150934107 150934404,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,2 - Micro,,USD,Washington; U.S.A,2020-08-07,2015-09-11,1997-03-21,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000891293,http://www.ctibiopharma.com
3427,SF1,114703,CTK,CooTek(Cayman)Inc,NYSE,N,ADR Common Stock,21718L102,7374.0,Services,Services-Computer Processing & Data Preparation,,Business Services,Technology,Software - Application,3 - Small,2 - Micro,,USD,China,2020-04-20,2018-09-28,2018-09-28,2020-10-09,2016-12-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001734262,http://www.cootek.com
3431,SF1,187658,CTLT,Catalent Inc,NYSE,N,Domestic Common Stock,148806102,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Drug Manufacturers - Specialty & Generic,5 - Large,4 - Mid,,USD,New Jersey; U.S.A,2020-08-31,2015-09-07,2014-07-31,2020-10-09,2012-06-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001596783,http://www.catalent.com
3433,SF1,157009,CTMX,CytomX Therapeutics Inc,NASDAQ,N,Domestic Common Stock,23284F105,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,2 - Micro,,USD,California; U.S.A,2020-08-07,2016-04-16,2015-10-08,2020-10-09,2014-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001501989,http://www.cytomx.com
3434,SF1,199816,CTO,CTO Realty Growth Inc,NYSEMKT,N,Domestic Common Stock,210226106 22948P103,6500.0,Finance Insurance And Real Estate,Real Estate,,Real Estate,Real Estate,Real Estate - Development,3 - Small,2 - Micro,,USD,Florida; U.S.A,2020-08-11,2015-09-03,1992-09-08,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000023795,http://www.ctlc.com
3439,SF1,113510,CTRA,Contura Energy Inc,NYSE,N,Domestic Common Stock,21241B100,1221.0,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,Basic Materials,Thermal Coal,3 - Small,4 - Mid,CNTE,USD,Tennessee; U.S.A,2020-08-07,2018-11-15,2018-11-09,2020-10-09,2016-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001704715,http://www.conturaenergy.com
3442,SF1,198144,CTRCQ,Centric Brands Inc,OTC,N,Domestic Common Stock,47777N101 15644G104 25374L108 457954600 457954501,2300.0,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,,Apparel,Consumer Cyclical,Apparel Manufacturing,3 - Small,4 - Mid,JOEZ DFBG CTRC INNO,USD,New York; U.S.A,2020-05-28,2016-02-04,1993-08-19,2020-10-09,1996-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000844143,http://www.centricbrands.com
3443,SF1,191295,CTRE,CareTrust REIT Inc,NASDAQ,N,Domestic Common Stock,14174T107,6798.0,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,Real Estate,REIT - Healthcare Facilities,4 - Mid,2 - Micro,,USD,California; U.S.A,2020-08-07,2015-03-19,2014-05-29,2020-10-09,2011-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001590717,http://www.caretrustreit.com
3445,SF1,111607,CTRM,Castor Maritime Inc,NASDAQ,N,ADR Common Stock,Y1146L109,4412.0,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,,Transportation,Industrials,Marine Shipping,1 - Nano,1 - Nano,,USD,Cyprus,2020-03-31,2019-02-11,2019-02-11,2020-10-09,2017-09-30,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001720161,http://www.castormaritime.com
3446,SF1,194899,CTRN,Citi Trends Inc,NASDAQ,N,Domestic Common Stock,17306X102,5600.0,Retail Trade,Retail-Apparel & Accessory Stores,,Retail,Consumer Cyclical,Apparel Retail,3 - Small,3 - Small,,USD,Georgia; U.S.A,2020-09-08,2015-05-06,2005-05-18,2020-10-09,2003-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001318484,http://www.cititrends.com
3451,SF1,199801,CTS,Cts Corp,NYSE,N,Domestic Common Stock,126501105,3672.0,Manufacturing,Printed Circuit Boards,,Electronic Equipment,Technology,Electronic Components,4 - Mid,3 - Small,,USD,Illinois; U.S.A,2020-08-01,2014-10-10,1987-11-05,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000026058,http://www.ctscorp.com
3452,SF1,196624,CTSH,Cognizant Technology Solutions Corp,NASDAQ,N,Domestic Common Stock,192446102,7371.0,Services,Services-Computer Programming Services,,Business Services,Technology,Information Technology Services,5 - Large,5 - Large,,USD,New Jersey; U.S.A,2020-07-30,2014-10-09,1998-06-19,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001058290,http://www.cognizant.com
3454,SF1,124312,CTSO,Cytosorbents Corp,NASDAQ,N,Domestic Common Stock,23283X206 23283X107 58404X107,3841.0,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,Healthcare,Medical Devices,3 - Small,1 - Nano,,USD,New Jersey; U.S.A,2020-08-04,2017-03-24,2006-08-08,2020-10-09,2006-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001175151,http://www.cytosorbents.com
3456,SF1,194687,CTT,CatchMark Timber Trust Inc,NYSE,N,Domestic Common Stock,14912Y202,6798.0,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,Real Estate,REIT - Specialty,3 - Small,2 - Micro,,USD,Georgia; U.S.A,2020-09-10,2015-05-20,2013-12-12,2020-10-09,2005-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001341141,http://www.catchmark.com
3460,SF1,110757,CTVA,Corteva Inc,NYSE,N,Domestic Common Stock,22052L104,100.0,Agriculture Forestry And Fishing,Agricultural Production-Crops,,Agriculture,Basic Materials,Agricultural Inputs,5 - Large,5 - Large,,USD,Delaware; U.S.A,2020-08-06,2019-06-03,2019-06-03,2020-10-09,2017-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001755672,http://www.corteva.com
3464,SF1,124202,CTXR,Citius Pharmaceuticals Inc,NASDAQ,N,Domestic Common Stock Primary Class,17322U207,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,2 - Micro,,CTXRD CTXRW,USD,New Jersey; U.S.A,2020-08-16,2017-05-02,2017-07-06,2020-10-09,2013-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001506251,http://www.citiuspharma.com
3465,SF1,197912,CTXS,Citrix Systems Inc,NASDAQ,N,Domestic Common Stock,177376100,7372.0,Services,Services-Prepackaged Software,,Business Services,Technology,Software - Application,5 - Large,4 - Mid,,USD,Florida; U.S.A,2020-07-31,2014-10-09,1995-12-08,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000877890,http://www.citrix.com
3470,SF1,199800,CUB,Cubic Corp,NYSE,N,Domestic Common Stock,229669106,3829.0,Manufacturing,Measuring & Controlling Devices Nec,,Measuring and Control Equipment,Industrials,Aerospace & Defense,4 - Mid,3 - Small,,USD,California; U.S.A,2020-08-05,2014-10-10,1989-02-21,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000026076,http://www.cubic.com
3471,SF1,195058,CUBE,CubeSmart,NYSE,N,Domestic Common Stock Primary Class,229663109 91274F104,6798.0,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,Real Estate,REIT - Industrial,4 - Mid,3 - Small,YSI CUBE-PA,USD,Pennsylvania; U.S.A,2020-08-10,2015-05-26,2004-10-22,2020-10-09,2003-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001298675,http://www.cubesmart.com
3473,SF1,192947,CUBI,Customers Bancorp Inc,NYSE,N,Domestic Common Stock Primary Class,23204G100,6022.0,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,3 - Small,3 - Small,CUBS CUBI-PF CUBB,USD,Pennsylvania; U.S.A,2020-08-11,2014-10-29,2012-04-11,2020-10-09,2010-06-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001488813,http://www.customersbank.com
3476,SF1,121318,CUE,Cue Biopharma Inc,NASDAQ,N,Domestic Common Stock,22978P106,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,1 - Nano,,USD,Massachusetts; U.S.A,2020-08-11,2017-12-29,2018-01-02,2020-10-09,2015-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001645460,http://www.cuebiopharma.com
3478,SF1,124420,CUII,China United Insurance Service Inc,OTC,N,Domestic Common Stock,16952A101,6311.0,Finance Insurance And Real Estate,Life Insurance,,Insurance,Financial Services,Insurance - Life,3 - Small,2 - Micro,,USD,Taiwan,2020-08-11,2016-11-27,2012-08-01,2020-10-09,2010-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512927,http://www.holdingscuis.com/cuis_en
3480,SF1,198802,CULP,Culp Inc,NYSE,N,Domestic Common Stock,230215105,2211.0,Manufacturing,Broadwoven Fabric Mills Cotton,,Textiles,Consumer Cyclical,Textile Manufacturing,3 - Small,3 - Small,CFI,USD,North Carolina; U.S.A,2020-09-11,2015-01-05,1990-03-26,2020-10-09,2001-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723603,http://www.culp.com
3489,SF1,121392,CURO,CURO Group Holdings Corp,NYSE,N,Domestic Common Stock,23131L107,6199.0,Finance Insurance And Real Estate,Finance Services,,Banking,Financial Services,Credit Services,3 - Small,3 - Small,,USD,Kansas; U.S.A,2020-08-06,2017-12-08,2017-12-07,2020-10-09,2015-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001711291,http://www.curo.com
3490,SF1,124158,CURR,Cure Pharmaceutical Holding Corp,OTC,N,Domestic Common Stock,23127P104,2673.0,Manufacturing,Plastics Foil & Coated Paper Bags,,Business Supplies,Consumer Cyclical,Packaging & Containers,2 - Micro,1 - Nano,,USD,California; U.S.A,2020-08-16,2017-05-16,2017-01-19,2020-10-09,2015-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001643301,http://www.curepharmaceutical.com
3494,SF1,195699,CUTR,Cutera Inc,NASDAQ,N,Domestic Common Stock,232109108,3845.0,Manufacturing,Electromedical & Electrotherapeutic Apparatus,,Medical Equipment,Healthcare,Medical Devices,3 - Small,2 - Micro,,USD,California; U.S.A,2020-08-10,2014-10-24,2004-03-31,2020-10-09,2002-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001162461,http://www.cutera.com
3495,SF1,199808,CUZ,Cousins Properties Inc,NYSE,N,Domestic Common Stock Primary Class,222795106 222795502,6798.0,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,Real Estate,REIT - Office,4 - Mid,3 - Small,,USD,Georgia; U.S.A,2020-07-31,2014-12-10,1990-03-26,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000025232,http://www.cousins.com
3497,SF1,199162,CVA,Covanta Holding Corp,NYSE,N,Domestic Common Stock,22282E102 236274106,4991.0,Transportation Communications Electric Gas And Sanitary Service,Cogeneration Services & Small Power Producers,,Almost Nothing,Industrials,Waste Management,4 - Mid,3 - Small,C3K,USD,New Jersey; U.S.A,2020-08-01,2015-09-02,1992-03-19,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000225648,http://www.covanta.com
3498,SF1,631822,CVAC,CureVac NV,NASDAQ,N,ADR Common Stock,N2451R105,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,,1 - Nano,,EUR,Germany,2020-08-17,2020-08-17,2020-08-14,2020-10-09,2018-12-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001809122,http://www.curevac.com
3502,SF1,199006,CVBF,Cvb Financial Corp,NASDAQ,N,Domestic Common Stock,126600105,6022.0,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,4 - Mid,3 - Small,,USD,California; U.S.A,2020-08-11,2014-10-11,1992-03-17,2020-10-09,1996-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000354647,http://www.cbbank.com
3507,SF1,199140,CVCO,Cavco Industries Inc,NASDAQ,N,Domestic Common Stock,149568107 149567109,2451.0,Manufacturing,Mobile Homes,,Construction Materials,Consumer Cyclical,Residential Construction,4 - Mid,3 - Small,,USD,Arizona; U.S.A,2020-09-10,2014-10-15,2003-07-01,2020-10-09,2002-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000278166,http://www.cavco.com
3508,SF1,195931,CVCY,Central Valley Community Bancorp,NASDAQ,N,Domestic Common Stock,155685100,6022.0,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,3 - Small,2 - Micro,,USD,California; U.S.A,2020-08-06,2015-03-30,1999-03-08,2020-10-09,1999-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001127371,http://www.cvcb.com
3510,SF1,165999,CVE,Cenovus Energy Inc,NYSE,N,Canadian Common Stock,15135U109,1311.0,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,Energy,Oil & Gas Integrated,5 - Large,5 - Large,,CAD,Alberta; Canada,2020-07-24,2015-12-31,2009-11-17,2020-10-09,2008-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001475260,http://www.cenovus.com
3512,SF1,191296,CVEO,Civeo Corp,NYSE,N,Domestic Common Stock,178787107 17878Y108,7000.0,Services,Hotels Rooming Houses Camps & Other Lodging Places,,Restaraunts Hotels Motels,Industrials,Specialty Business Services,4 - Mid,3 - Small,,USD,Texas; U.S.A,2020-07-29,2015-09-11,2014-05-19,2020-10-09,2011-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001590584,http://civeo.com
3513,SF1,111620,CVET,Covetrus Inc,NASDAQ,N,Domestic Common Stock,22304C100,5912.0,Retail Trade,Retail-Drug Stores And Proprietary Stores,,Retail,Technology,Health Information Services,4 - Mid,4 - Mid,CVETV,USD,Maine; U.S.A,2020-08-11,2019-02-05,2019-02-05,2020-10-09,2016-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001752836,http://www.covetrus.com
3515,SF1,195115,CVGI,Commercial Vehicle Group Inc,NASDAQ,N,Domestic Common Stock,202608105,3714.0,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,Consumer Cyclical,Auto Parts,3 - Small,3 - Small,,USD,Ohio; U.S.A,2020-08-10,2014-10-27,2004-08-09,2020-10-09,2002-12-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001290900,http://cvgrp.com
3517,SF1,195877,CVGW,Calavo Growers Inc,NASDAQ,N,Domestic Common Stock,128246105,700.0,Agriculture Forestry And Fishing,Agricultural Services,,Agriculture,Consumer Defensive,Packaged Foods,3 - Small,3 - Small,,USD,California; U.S.A,2020-09-09,2014-10-24,2002-07-23,2020-10-09,2000-06-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001133470,http://www.calavo.com
3519,SF1,194305,CVI,Cvr Energy Inc,NYSE,N,Domestic Common Stock Primary Class,12662P108,2911.0,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,Energy,Oil & Gas Refining & Marketing,4 - Mid,4 - Mid,,USD,Texas; U.S.A,2020-08-04,2015-01-30,2007-10-23,2020-10-09,2006-09-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001376139,http://www.cvrenergy.com
3521,SF1,116547,CVIAQ,Covia Holdings Corp,OTC,N,Domestic Common Stock,22305A103,1400.0,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,Energy,Oil & Gas Equipment & Services,4 - Mid,3 - Small,CVIA,USD,Ohio; U.S.A,2020-08-11,2018-06-09,2018-06-01,2020-10-09,2017-03-31,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001722287,http://www.coviacorp.com
